,id,vri_id,mi_number,mi_modification,mi_manufactureYear,mi_signCipher,mi_Owner_name,org_title,fsa_ral_regNumbers_regNumber,mitypeNumber,mitypeTitle,mit_owner_CountrySI,mit_owner_SettlementSI,mit_owner_ManufacturerSI,mit_MP_doc,mit_MP_link,mit_MPISI,docTitle,mit_id,mitypeURL,mitypeType,verification_date,valid_date,publication_date,vriType,result_docnum,result_doc_type,additional_info
0,1,634424,076,ДМ-01...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,17756-98,Маном...,РОССИЯ,г.Сар...,ОАО &...,,,1 год,ЦТКА....,318096,https://fgis.gost.ru/fundmetrology/registry/4/items/318096,ДМ-01,06.04.2020,,,Без статуса,Б/И-211,Извещение о непригодности,
1,2,567706,14884462,ОБМ1-100,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,22.06.2020,22.06.2021,,Без статуса,Нет д...,Извещение о непригодности,
2,3,1576977,1553986,ОБМГн...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,27.07.2020,27.07.2021,,Без статуса,Нет д...,Извещение о непригодности,
3,4,1577099,2605413,ОБМ1-...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,07.07.2020,07.07.2021,,Без статуса,Нет д...,Извещение о непригодности,
4,5,1577114,805930,ОБМ1-...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,03.07.2020,03.07.2021,,Без статуса,Нет д...,Извещение о непригодности,
5,6,8107323,1814672,ОБМ1-100,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,26.08.2020,26.08.2021,,Без статуса,Не вы...,Извещение о непригодности,
6,7,19683956,1553695,ОБМГн...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,01.09.2020,01.09.2021,,Без статуса,не вы...,Извещение о непригодности,
7,8,37746220,381964,ОБМ1-100,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,08.12.2020,08.12.2021,,Периодическая,C-АОЛ...,Извещение о непригодности,
8,9,37746222,897012,ОБМ1-100,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,08.12.2020,08.12.2021,,Периодическая,C-АОЛ...,Извещение о непригодности,
9,10,39097433,1423086,ОБМ1-...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,13.01.2021,13.01.2022,,Периодическая,C-АОЛ...,Извещение о непригодности,
10,11,39097434,1350099,ОБМ1-...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,13.01.2021,13.01.2022,,Периодическая,C-АОЛ...,Извещение о непригодности,
11,12,46198379,2627750,ОБМ1-...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,16.02.2021,16.02.2022,,Периодическая,C-АОЛ...,Извещение о непригодности,
12,13,46198380,2354144,ОБМ1-...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,16.02.2021,16.02.2022,,Периодическая,C-АОЛ...,Извещение о непригодности,
13,14,46198381,1128334,ОБМ1-...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,16.02.2021,16.02.2022,,Периодическая,C-АОЛ...,Извещение о непригодности,
14,15,78891981,805930,ОБМ1-...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,02.06.2021,02.06.2022,,Периодическая,C-АОЛ...,Извещение о непригодности,
15,16,84971938,1553695,ОБМГн...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,13.07.2021,13.07.2022,,Периодическая,C-АОЛ...,Извещение о непригодности,
16,17,84971948,1553986,ОБМГн...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,13.07.2021,13.07.2022,,Периодическая,C-АОЛ...,Извещение о непригодности,
17,18,92979052,1814672,ОБМ1-...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,26.08.2021,26.08.2022,,Периодическая,C-АОЛ...,Извещение о непригодности,
18,19,124453800,381964,ОБМ1-100,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,16.12.2021,16.12.2022,,Периодическая,C-АОЛ...,Извещение о непригодности,
19,20,124453802,897012,ОБМ1-100,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,16.12.2021,16.12.2022,,Периодическая,C-АОЛ...,Извещение о непригодности,
20,21,135186729,2354144,ОБМ1-...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,16.02.2022,16.02.2023,,Периодическая,C-АОЛ...,Извещение о непригодности,
21,22,135186755,1128334,ОБМ1-...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,16.02.2022,16.02.2023,,Периодическая,C-АОЛ...,Извещение о непригодности,
22,23,135186768,2627750,ОБМ1-...,,АОЛ,ФГУП ...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,17.02.2022,17.02.2023,,Периодическая,C-АОЛ...,Извещение о непригодности,
23,24,170334788,1553695,ОБМГн...,,АОЛ,ФАУ &...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,09.06.2022,09.06.2023,,Периодическая,C-АОЛ...,Извещение о непригодности,
24,25,170334814,1553986,ОБМГн...,,АОЛ,ФАУ &...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,09.06.2022,09.06.2023,,Периодическая,C-АОЛ...,Извещение о непригодности,
25,26,170334840,2380600,ОБМ1-...,,АОЛ,ФАУ &...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,16.06.2022,16.06.2023,,Периодическая,C-АОЛ...,Извещение о непригодности,
26,27,170334888,805930,ОБМ1-...,,АОЛ,ФАУ &...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,ГОСТ ...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,23.06.2022,23.06.2023,,Периодическая,C-АОЛ...,Извещение о непригодности,
27,28,185297475,1814672,ОБМ1-...,,АОЛ,ФАУ &...,ФЕДЕР...,РОСС ...,1778-63,Маном...,РОССИЯ,г.Томск,Маном...,,,Повер...,МИ 21...,318127,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,ОБМ1-...,24.08.2022,24.08.2023,,Периодическая,C-АОЛ...,Извещение о непригодности,
